"#","Reference","Qty","Value","Footprint","DNP"
"54","R35, R43","2","220R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","" K
"55","R49, R51, R53","3","22K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","" K
"56","R50, R52, R54","3","15K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","" K
"57","SW1","1","SW_Push_LED","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","" 
"58","SW3, SW4","2","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","" K
"59","U1, U2, U3","3","ACS712xLCTR-20A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","" K
"60","U4","1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","" K
"61","U5","1","CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"62","U6","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","" K
"63","U9","1","ENC28J60x-SO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","" K
"64","U10","1","RPM5.0-6.0","SamacSys_Parts:RPM5060","" K
"65","Y1","1","12MHz","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","" K
"66","Y2","1","ECS-2520MVLC-250-BN-TR3","SamacSys_Parts:ECS2520MVLC250BNTR3","" K
